feature_set	feature_count	model	shrink	metric
replay_plus_top_5	8	ridge_50	0.9	11.41
replay_plus_base	14	ridge_50	0.8	11.45
replay_plus_top_10	13	ridge_50	0.75	11.48
replay_plus_top_15	18	catboost_conservative	0.6	11.49
replay_plus_top_30	33	catboost_conservative	0.7	11.52
replay_only	3	ridge_50	0.95	11.53
replay_plus_top_20	23	ridge_50	0.6	11.53
replay_plus_top_40	43	elastic_net	0.6	11.55
without_audience	66	elastic_net	0.55	11.56
all	100	catboost_conservative	0.65	11.57
without_publisher	72	ridge_50	0.6	11.57
without_recent	76	catboost_conservative	0.7	11.57
replay_plus_recent	27	elastic_net	0.95	11.59
replay_plus_audience	37	elastic_net	0.85	11.6
replay_plus_top_60	63	catboost_conservative	0.65	11.6
without_base	89	catboost_conservative	0.55	11.69
replay_plus_publisher	31	elastic_net	0.55	11.71
